记录数,地区,GDP(亿元）,年
1,北京市,8117.78,2006/1/1
1,天津市,4462.74,2006/1/1
1,河北省,11467.6,2006/1/1
1,山西省,4878.61,2006/1/1
1,内蒙古自治区,4944.25,2006/1/1
1,辽宁省,9304.52,2006/1/1
1,吉林省,4275.12,2006/1/1
1,黑龙江省,6211.8,2006/1/1
1,上海市,10572.24,2006/1/1
1,江苏省,21742.05,2006/1/1
1,浙江省,15718.47,2006/1/1
1,安徽省,6112.5,2006/1/1
1,福建省,7583.85,2006/1/1
1,江西省,4820.53,2006/1/1
1,山东省,21900.19,2006/1/1
1,河南省,12362.79,2006/1/1
1,湖北省,7617.47,2006/1/1
1,湖南省,7688.67,2006/1/1
1,广东省,26587.76,2006/1/1
1,广西壮族自治区,4746.16,2006/1/1
1,海南省,1065.67,2006/1/1
1,重庆市,3907.23,2006/1/1
1,四川省,8690.24,2006/1/1
1,贵州省,2338.98,2006/1/1
1,云南省,3988.14,2006/1/1
1,西藏自治区,290.76,2006/1/1
1,陕西省,4743.61,2006/1/1
1,甘肃省,2277.35,2006/1/1
1,青海省,648.5,2006/1/1
1,宁夏回族自治区,725.9,2006/1/1
1,新疆维吾尔自治区,3045.26,2006/1/1
1,北京市,9846.81,2007/1/1
1,天津市,5252.76,2007/1/1
1,河北省,13607.32,2007/1/1
1,山西省,6024.45,2007/1/1
1,内蒙古自治区,6423.18,2007/1/1
1,辽宁省,11164.3,2007/1/1
1,吉林省,5284.69,2007/1/1
1,黑龙江省,7104,2007/1/1
1,上海市,12494.01,2007/1/1
1,江苏省,26018.48,2007/1/1
1,浙江省,18753.73,2007/1/1
1,安徽省,7360.92,2007/1/1
1,福建省,9248.53,2007/1/1
1,江西省,5800.25,2007/1/1
1,山东省,25776.91,2007/1/1
1,河南省,15012.46,2007/1/1
1,湖北省,9333.4,2007/1/1
1,湖南省,9439.6,2007/1/1
1,广东省,31777.01,2007/1/1
1,广西壮族自治区,5823.41,2007/1/1
1,海南省,1254.17,2007/1/1
1,重庆市,4676.13,2007/1/1
1,四川省,10562.39,2007/1/1
1,贵州省,2884.11,2007/1/1
1,云南省,4772.52,2007/1/1
1,西藏自治区,341.43,2007/1/1
1,陕西省,5757.29,2007/1/1
1,甘肃省,2703.98,2007/1/1
1,青海省,797.35,2007/1/1
1,宁夏回族自治区,919.11,2007/1/1
1,新疆维吾尔自治区,3523.16,2007/1/1
1,北京市,11115,2008/1/1
1,天津市,6719.01,2008/1/1
1,河北省,16011.97,2008/1/1
1,山西省,7315.4,2008/1/1
1,内蒙古自治区,8496.2,2008/1/1
1,辽宁省,13668.58,2008/1/1
1,吉林省,6426.1,2008/1/1
1,黑龙江省,8314.37,2008/1/1
1,上海市,14069.86,2008/1/1
1,江苏省,30981.98,2008/1/1
1,浙江省,21462.69,2008/1/1
1,安徽省,8851.66,2008/1/1
1,福建省,10823.01,2008/1/1
1,江西省,6971.05,2008/1/1
1,山东省,30933.28,2008/1/1
1,河南省,18018.53,2008/1/1
1,湖北省,11328.92,2008/1/1
1,湖南省,11555,2008/1/1
1,广东省,36796.71,2008/1/1
1,广西壮族自治区,7021,2008/1/1
1,海南省,1503.06,2008/1/1
1,重庆市,5793.66,2008/1/1
1,四川省,12601.23,2008/1/1
1,贵州省,3561.56,2008/1/1
1,云南省,5692.12,2008/1/1
1,西藏自治区,394.85,2008/1/1
1,陕西省,7314.58,2008/1/1
1,甘肃省,3166.82,2008/1/1
1,青海省,1018.62,2008/1/1
1,宁夏回族自治区,1203.92,2008/1/1
1,新疆维吾尔自治区,4183.21,2008/1/1
1,北京市,12153.03,2009/1/1
1,天津市,7521.85,2009/1/1
1,河北省,17235.48,2009/1/1
1,山西省,7358.31,2009/1/1
1,内蒙古自治区,9740.25,2009/1/1
1,辽宁省,15212.49,2009/1/1
1,吉林省,7278.75,2009/1/1
1,黑龙江省,8587,2009/1/1
1,上海市,15046.45,2009/1/1
1,江苏省,34457.3,2009/1/1
1,浙江省,22990.35,2009/1/1
1,安徽省,10062.82,2009/1/1
1,福建省,12236.53,2009/1/1
1,江西省,7655.18,2009/1/1
1,山东省,33896.65,2009/1/1
1,河南省,19480.46,2009/1/1
1,湖北省,12961.1,2009/1/1
1,湖南省,13059.69,2009/1/1
1,广东省,39482.56,2009/1/1
1,广西壮族自治区,7759.16,2009/1/1
1,海南省,1654.21,2009/1/1
1,重庆市,6530.01,2009/1/1
1,四川省,14151.28,2009/1/1
1,贵州省,3912.68,2009/1/1
1,云南省,6169.75,2009/1/1
1,西藏自治区,441.36,2009/1/1
1,陕西省,8169.8,2009/1/1
1,甘肃省,3387.56,2009/1/1
1,青海省,1081.27,2009/1/1
1,宁夏回族自治区,1353.31,2009/1/1
1,新疆维吾尔自治区,4277.05,2009/1/1
1,北京市,14113.58,2010/1/1
1,天津市,9224.46,2010/1/1
1,河北省,20394.26,2010/1/1
1,山西省,9200.86,2010/1/1
1,内蒙古自治区,11672,2010/1/1
1,辽宁省,18457.27,2010/1/1
1,吉林省,8667.58,2010/1/1
1,黑龙江省,10368.6,2010/1/1
1,上海市,17165.98,2010/1/1
1,江苏省,41425.48,2010/1/1
1,浙江省,27722.31,2010/1/1
1,安徽省,12359.33,2010/1/1
1,福建省,14737.12,2010/1/1
1,江西省,9451.26,2010/1/1
1,山东省,39169.92,2010/1/1
1,河南省,23092.36,2010/1/1
1,湖北省,15967.61,2010/1/1
1,湖南省,16037.96,2010/1/1
1,广东省,46013.06,2010/1/1
1,广西壮族自治区,9569.85,2010/1/1
1,海南省,2064.5,2010/1/1
1,重庆市,7925.58,2010/1/1
1,四川省,17185.48,2010/1/1
1,贵州省,4602.16,2010/1/1
1,云南省,7224.18,2010/1/1
1,西藏自治区,507.46,2010/1/1
1,陕西省,10123.48,2010/1/1
1,甘肃省,4120.75,2010/1/1
1,青海省,1350.43,2010/1/1
1,宁夏回族自治区,1689.65,2010/1/1
1,新疆维吾尔自治区,5437.47,2010/1/1
1,北京市,16251.93,2011/1/1
1,天津市,11307.28,2011/1/1
1,河北省,24515.76,2011/1/1
1,山西省,11237.55,2011/1/1
1,内蒙古自治区,14359.88,2011/1/1
1,辽宁省,22226.7,2011/1/1
1,吉林省,10568.83,2011/1/1
1,黑龙江省,12582,2011/1/1
1,上海市,19195.69,2011/1/1
1,江苏省,49110.27,2011/1/1
1,浙江省,32318.85,2011/1/1
1,安徽省,15300.65,2011/1/1
1,福建省,17560.18,2011/1/1
1,江西省,11702.82,2011/1/1
1,山东省,45361.85,2011/1/1
1,河南省,26931.03,2011/1/1
1,湖北省,19632.26,2011/1/1
1,湖南省,19669.56,2011/1/1
1,广东省,53210.28,2011/1/1
1,广西壮族自治区,11720.87,2011/1/1
1,海南省,2522.66,2011/1/1
1,重庆市,10011.37,2011/1/1
1,四川省,21026.68,2011/1/1
1,贵州省,5701.84,2011/1/1
1,云南省,8893.12,2011/1/1
1,西藏自治区,605.83,2011/1/1
1,陕西省,12512.3,2011/1/1
1,甘肃省,5020.37,2011/1/1
1,青海省,1670.44,2011/1/1
1,宁夏回族自治区,2102.21,2011/1/1
1,新疆维吾尔自治区,6610.05,2011/1/1
1,北京市,17879.4,2012/1/1
1,天津市,12893.88,2012/1/1
1,河北省,26575.01,2012/1/1
1,山西省,12112.83,2012/1/1
1,内蒙古自治区,15880.58,2012/1/1
1,辽宁省,24846.43,2012/1/1
1,吉林省,11939.24,2012/1/1
1,黑龙江省,13691.58,2012/1/1
1,上海市,20181.72,2012/1/1
1,江苏省,54058.22,2012/1/1
1,浙江省,34665.33,2012/1/1
1,安徽省,17212.05,2012/1/1
1,福建省,19701.78,2012/1/1
1,江西省,12948.88,2012/1/1
1,山东省,50013.24,2012/1/1
1,河南省,29599.31,2012/1/1
1,湖北省,22250.45,2012/1/1
1,湖南省,22154.23,2012/1/1
1,广东省,57067.92,2012/1/1
1,广西壮族自治区,13035.1,2012/1/1
1,海南省,2855.54,2012/1/1
1,重庆市,11409.6,2012/1/1
1,四川省,23872.8,2012/1/1
1,贵州省,6852.2,2012/1/1
1,云南省,10309.47,2012/1/1
1,西藏自治区,701.03,2012/1/1
1,陕西省,14453.68,2012/1/1
1,甘肃省,5650.2,2012/1/1
1,青海省,1893.54,2012/1/1
1,宁夏回族自治区,2341.29,2012/1/1
1,新疆维吾尔自治区,7505.31,2012/1/1
1,北京市,19800.81,2013/1/1
1,天津市,14442.01,2013/1/1
1,河北省,28442.95,2013/1/1
1,山西省,12665.25,2013/1/1
1,内蒙古自治区,16916.5,2013/1/1
1,辽宁省,27213.22,2013/1/1
1,吉林省,13046.4,2013/1/1
1,黑龙江省,14454.91,2013/1/1
1,上海市,21818.15,2013/1/1
1,江苏省,59753.37,2013/1/1
1,浙江省,37756.59,2013/1/1
1,安徽省,19229.34,2013/1/1
1,福建省,21868.49,2013/1/1
1,江西省,14410.19,2013/1/1
1,山东省,55230.32,2013/1/1
1,河南省,32191.3,2013/1/1
1,湖北省,24791.83,2013/1/1
1,湖南省,24621.67,2013/1/1
1,广东省,62474.79,2013/1/1
1,广西壮族自治区,14449.9,2013/1/1
1,海南省,3177.56,2013/1/1
1,重庆市,12783.26,2013/1/1
1,四川省,26392.07,2013/1/1
1,贵州省,8086.86,2013/1/1
1,云南省,11832.31,2013/1/1
1,西藏自治区,815.67,2013/1/1
1,陕西省,16205.45,2013/1/1
1,甘肃省,6330.69,2013/1/1
