数据库：分省年度数据
指标：居民消费水平(元)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,39200,36057,33337,30350,27760,24982,22023,20113,18553,16487
天津市,32595,28492,26261,22984,20624,17852,15200,14150,12034,10609
河北省,12829,12171,11557,10749,9551,8057,7193,6498,5667,4924
山西省,14364,12622,12078,10829,9746,8447,6854,6519,5693,4883
内蒙古自治区,20835,19827,17168,15196,13264,10925,9460,8354,7062,5746
辽宁省,23693,22260,20156,17999,15635,13016,10906,9690,7934,6926
吉林省,14630,13663,13676,12276,10811,9241,8538,7629,6675,5710
黑龙江省,16443,15215,12978,11601,10634,9121,7922,7135,6037,5141
上海市,45816,43007,39223,36893,35439,32271,26582,25167,22889,20022
江苏省,31682,28316,23585,19452,17167,14035,11993,10882,9530,8182
浙江省,28712,26885,24771,22845,21346,18274,15867,14264,12730,11099
安徽省,13941,12944,11618,10978,10055,8237,6829,6006,5276,4409
福建省,20828,19099,17115,16144,14958,13187,11336,10645,8943,7971
江西省,14489,12000,11910,10573,9523,7989,6212,5805,4676,4117
山东省,20684,19184,16728,15095,13524,11606,10494,9673,8142,7064
河南省,14507,13078,11782,10380,9171,7837,6607,5877,5141,4530
湖北省,17429,15762,13912,12283,10873,8977,7791,7399,6513,5480
湖南省,16289,14384,12920,11740,10547,8922,7929,7152,6254,5508
广东省,26365,24582,23739,21823,19578,17211,15243,13911,12336,10619
广西壮族自治区,13857,12944,11710,10519,9181,7920,6968,6152,5114,4280
海南省,17019,12915,11712,10634,9238,7553,6695,6134,5630,4819
重庆市,18860,17262,15423,13655,11832,9723,8494,7637,6453,5323
四川省,14774,13755,12485,11280,9903,8182,6863,6072,5259,4501
贵州省,12876,11362,9541,8372,7389,6218,5456,4880,4263,3797
云南省,13401,12235,11224,9782,8278,6811,5976,5465,4658,4172
西藏自治区,8756,7205,6275,5340,4730,4469,3985,3460,3166,2877
陕西省,15363,14812,13206,11852,10053,8474,7154,6483,5480,4742
甘肃省,11868,10678,9616,8542,7493,6234,5509,4947,4298,3810
青海省,15167,13534,12070,10289,8744,7326,6501,5830,4978,4229
宁夏回族自治区,17210,15193,13537,12120,10937,8992,7918,7108,5743,5070
新疆维吾尔自治区,13684,12435,11401,10675,8895,7400,5945,5521,4831,4151
数据来源：国家统计局
